web-scraper-order;web-scraper-start-url;skiregion_raw;altitude_start_raw;altitude_end_raw;ort_raw;slope_blue_raw;slope_red_raw;slope_black_raw;lift_count_raw;skipassprice_raw;review_raw
1732267906-1;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Reckingen-Gluringen;1333 m;1445 m;;1,2 km;0 km;0 km;2 Lifte/Bahnen;SFr. 27,- / ca. € 29,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-2;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Ghöch;1000 m;1060 m;;0,8 km;0,2 km;0 km;2 Lifte/Bahnen;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-3;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Wasen im Emmental;840 m;910 m;;1 km;0 km;0 km;2 Lifte/Bahnen;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-4;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Selfranga – Klosters;1186 m;1354 m;;1,2 km;0 km;0 km;2 Lifte/Bahnen;SFr. 30,- / ca. € 32,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-5;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Basse Ruche;1087 m;1125 m;;1 km;0 km;0 km;2 Lifte/Bahnen;SFr. 20,- / ca. € 21,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-6;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Krinau;820 m;908 m;;0,4 km;0,2 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-7;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Alpe di Neggia;1395 m;1595 m;;1 km;0 km;0 km;2 Lifte/Bahnen;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-8;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Grenchenberg – Grenchen;1240 m;1350 m;;0,8 km;0 km;0 km;2 Lifte/Bahnen;SFr. 24,- / ca. € 26,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-9;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Realp;1550 m;1660 m;;1 km;0 km;0 km;2 Lifte/Bahnen;SFr. 29,- / ca. € 31,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-10;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Casaccia;1550 m;1600 m;;0,5 km;0 km;0 km;1 Lift/Bahn;SFr. 20,- / ca. € 21,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-11;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Gadmen;1205 m;1300 m;;0,5 km;0 km;0 km;1 Lift/Bahn;SFr. 18,- / ca. € 19,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-12;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Langis;1450 m;1517 m;;0,7 km;0 km;0 km;1 Lift/Bahn;SFr. 24,- / ca. € 26,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-13;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Saas-Balen;1472 m;1521 m;;0,5 km;0 km;0 km;1 Lift/Bahn;SFr. 16,- / ca. € 17,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-14;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Gähwil;760 m;905 m;;0,8 km;0 km;0 km;1 Lift/Bahn;SFr. 28,- / ca. € 30,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-15;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Bündalift – Davos;1556 m;1714 m;;0,6 km;0 km;0 km;1 Lift/Bahn;SFr. 30,- / ca. € 32,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-16;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Gurnigelbad;1150 m;1250 m;;0,7 km;0 km;0 km;1 Lift/Bahn;SFr. 28,- / ca. € 30,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-17;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Bäretswil;725 m;835 m;;1 km;0 km;0 km;3 Lifte/Bahnen;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-18;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Lantsch/​Lenz;1290 m;1382 m;;0,8 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-19;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Kellerberg – Haldi;1238 m;1393 m;;0,8 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-20;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Dzora – Lourtier;1100 m;1188 m;;0,6 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-21;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Les Orvales – Malleray;781 m;855 m;;0,5 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-22;https://www.skiresort.ch/skigebiete/schweiz/seite/3;La Sagne;1040 m;1140 m;;0,5 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-23;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Oberwangen;627 m;765 m;;0,8 km;0 km;0 km;2 Lifte/Bahnen;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-24;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Les Prévondes;987 m;1090 m;;0,4 km;0 km;0 km;1 Lift/Bahn;SFr. 5,- / ca. € 5,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-25;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Schnabelsberg – Bennau (Einsiedeln);950 m;1020 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 17,- / ca. € 18,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-26;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Hubelweid – Heiligenschwendi;1102 m;1152 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 20,- / ca. € 21,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-27;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Oberhelfenschwil;798 m;866 m;;0,4 km;0 km;0 km;1 Lift/Bahn;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-28;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Bedea – Novaggio;625 m;690 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 15,- / ca. € 16,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-29;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Telli – Morschach;640 m;676 m;;0,3 km;0 km;0 km;2 Lifte/Bahnen;SFr. 14,- / ca. € 15,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-30;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Wilern (Binn);1427 m;1542 m;;0,4 km;0 km;0 km;1 Lift/Bahn;SFr. 10,- / ca. € 11,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-31;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Sternenberg – Schatzböl;838 m;884 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 10,- / ca. € 11,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-32;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Langmattli – Hergiswil;838 m;946 m;;0,4 km;0 km;0 km;1 Lift/Bahn;SFr. 12,- / ca. € 13,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-33;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Beckenhalde – St. Gallen;764 m;854 m;;0,4 km;0 km;0 km;1 Lift/Bahn;SFr. 19,- / ca. € 20,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-34;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Hampy – Adelboden;1289 m;1351 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 26,- / ca. € 28,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-35;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Hörnli – Hemberg-Bächli;890 m;970 m;;0,4 km;0 km;0 km;1 Lift/Bahn;SFr. 25,- / ca. € 27,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-36;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Ausserschwand;1341 m;1392 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-37;https://www.skiresort.ch/skigebiete/schweiz/seite/3;La Trélasse;1100 m;1150 m;;0,5 km;0 km;0 km;2 Lifte/Bahnen;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-38;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Mittlerwengi – Kaltbrunn;1153 m;1253 m;;0 km;0,4 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-39;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Regensberg-Erlenhof – Im Buck;605 m;648 m;;0,3 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-40;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Haut-de-Caux;1156 m;1166 m;;0,1 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-41;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Sous-le-Mont – Tavannes;855 m;921 m;;0,3 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-42;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Bildhaus – Gommiswald am Ricken;800 m;860 m;;0,5 km;0 km;0 km;2 Lifte/Bahnen;SFr. 25,- / ca. € 27,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-43;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Cioss Prato – Bedretto;1550 m;1610 m;;0,4 km;0 km;0 km;2 Lifte/Bahnen;SFr. 17,- / ca. € 18,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-44;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Staffelalp – Zeglingen;726 m;782 m;;0,1 km;0,3 km;0,1 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-45;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Les Loges – La Vue des Alpes;1235 m;1260 m;;1 km;0 km;0 km;2 Lifte/Bahnen;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-46;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Bernina Heliski;2000 m;3300 m;;;;;Heliskiing;;[]
1732267906-47;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Trachselwald;685 m;715 m;;0,5 km;0 km;0 km;1 Lift/Bahn;SFr. 10,- / ca. € 11,-;"[{""review_raw"":"""",""review_raw-title"":""2 von 5 Sternen""}]"
1732267906-48;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Bügls – S-chanf;1670 m;1700 m;;0,5 km;0 km;0 km;1 Lift/Bahn;SFr. 10,- / ca. € 11,-;"[{""review_raw"":"""",""review_raw-title"":""2 von 5 Sternen""}]"
1732267906-49;https://www.skiresort.ch/skigebiete/schweiz/seite/3;La Brévine;1048 m;1100 m;;0,8 km;0 km;0 km;1 Lift/Bahn;SFr. 3,- / ca. € 3,-;"[{""review_raw"":"""",""review_raw-title"":""2 von 5 Sternen""}]"
1732267906-50;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Raten – Oberägeri;1077 m;1119 m;;0,8 km;0 km;0 km;2 Lifte/Bahnen;SFr. 14,- / ca. € 15,-;"[{""review_raw"":"""",""review_raw-title"":""2 von 5 Sternen""}]"
1732267906-51;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Guttannen;1057 m;1150 m;;0,5 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2 von 5 Sternen""}]"
1732267906-52;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Täsch;1450 m;1500 m;;0,5 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2 von 5 Sternen""}]"
1732267906-53;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Rüegsau;590 m;650 m;;0,5 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2 von 5 Sternen""}]"
1732267906-54;https://www.skiresort.ch/skigebiete/schweiz/seite/3;LiFu – Furom;1611 m;1640 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 10,- / ca. € 11,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-55;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Bottenwil – Piz Graben;600 m;630 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 10,- / ca. € 11,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-56;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Les Haudères – L'Homazo;1450 m;1455 m;;0,1 km;0 km;0 km;1 Lift/Bahn;SFr. 5,- / ca. € 5,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-57;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Mottalift – Serneus;999 m;1014 m;;0,4 km;0 km;0 km;1 Lift/Bahn;SFr. 15,- / ca. € 16,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-58;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Oberwald;1373 m;1404 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 7,- / ca. € 7,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-59;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Lommiswil – Bitzirain;620 m;680 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 16,- / ca. € 17,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-60;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Rossa;1100 m;1150 m;;0,4 km;0 km;0 km;2 Lifte/Bahnen;SFr. 15,- / ca. € 16,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-61;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Lucky – Aeschi;860 m;890 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 15,- / ca. € 16,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-62;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Schlösslihang – St. Gallen;660 m;690 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 16,- / ca. € 17,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-63;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Nollen – Hosenruck (Wuppenau);687 m;725 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 15,- / ca. € 16,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-64;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Asp (Densbüren);575 m;650 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 10,- / ca. € 11,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-65;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Wildberg – Schafbüel;685 m;710 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 15,- / ca. € 16,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-66;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Randa;1421 m;1435 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 8,- / ca. € 9,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-67;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Stich – Opfertshofen;600 m;665 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 10,- / ca. € 11,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-68;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Egg – Hallau;520 m;560 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 10,- / ca. € 11,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-69;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Saxeten – Pintli;1162 m;1189 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 8,- / ca. € 9,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-70;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Blatten – Speicher;900 m;935 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 12,- / ca. € 13,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-71;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Mugi – Netstal;460 m;550 m;;0,4 km;0 km;0 km;2 Lifte/Bahnen;SFr. 10,- / ca. € 11,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-72;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Sitzberg – Fischingen;770 m;800 m;;0 km;0,2 km;0 km;1 Lift/Bahn;SFr. 7,50 / ca. € 8,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-73;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Dietikon;460 m;490 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 8,- / ca. € 9,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-74;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Norro-Lift – Adelboden;1305 m;1332 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 15,- / ca. € 16,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-75;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Goldiwil – Multenegg (Heiligenschwendi);1100 m;1120 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 5,- / ca. € 5,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-76;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Horben – Lindenberg;765 m;805 m;;0,2 km;0 km;0 km;1 Lift/Bahn;SFr. 15,- / ca. € 16,-;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-77;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Mammern-Klingenzell;570 m;600 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-78;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Bonderlen;1354 m;1364 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-79;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Tarasp;1410 m;1450 m;;0,3 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-80;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Nunningen;660 m;700 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-81;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Pian San Giacomo  (vorübergehend außer Betrieb);1180 m;1200 m;;0,2 km;(vorübergehend außer Betrieb);0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-82;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Guarda;1650 m;1670 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-83;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Ardez;1476 m;1526 m;;0,3 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-84;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Lukaslift – Grabs;469 m;482 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-85;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Trient;1320 m;1350 m;;0,1 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-86;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Brot-Plamboz;1050 m;1100 m;;0,4 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-87;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Dalpe;1200 m;1250 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-88;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Riffenmatt Winterpark;1080 m;1140 m;;0,3 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-89;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Les Paccots/​Granges – Mont-Chesau;800 m;900 m;;0,4 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-90;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Le Chaluet – Court;700 m;740 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-91;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Weisstannen;984 m;1022 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-92;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Wiesen – Gruob;1400 m;1410 m;;0,1 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-93;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Saalhöhe;720 m;775 m;;0,3 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-94;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Urnerboden;1360 m;1420 m;;0,3 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-95;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Rotberg – Villigen;560 m;600 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-96;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Schermtanne – Stiegelschwand;1481 m;1509 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-97;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Dicki – Weisslingen;590 m;620 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-98;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Walenstadtberg;850 m;930 m;;0,3 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-99;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Orgevaux/​Les Avants;1304 m;1348 m;;0,2 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-100;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Gsahl – Hauenstein-Ifenthal;760 m;800 m;;0,4 km;0 km;0 km;2 Lifte/Bahnen;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267906-101;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Loco Ski Academy – Saillon (Trockenskigebiet);468 m;471 m;;0,1 km;0 km;0 km;;;"[{""review_raw"":"""",""review_raw-title"":""2,0 von 5 Sternen""}]"
1732267909-102;https://www.skiresort.ch/skigebiete/schweiz/seite/2;Saint Luc/​Chandolin (Anniviers);1680 m;2980 m;;20 km;30 km;10 km;15 Lifte/Bahnen;SFr. 65,- / ca. € 69,-;"[{""review_raw"":"""",""review_raw-title"":""3,3 von 5 Sternen""}]"
1732267909-103;https://www.skiresort.ch/skigebiete/schweiz/seite/2;Leysin;1250 m;2198 m;;43 km;15 km;2 km;12 Lifte/Bahnen;SFr. 68,- / ca. € 73,-;"[{""review_raw"":"""",""review_raw-title"":""3,3 von 5 Sternen""}]"
1732267909-104;https://www.skiresort.ch/skigebiete/schweiz/seite/2;Betelberg – Lenk;1083 m;2001 m;;21,7 km;19,4 km;0,9 km;11 Lifte/Bahnen;SFr. 62,- / ca. € 66,-;"[{""review_raw"":"""",""review_raw-title"":""3,3 von 5 Sternen""}]"
1732267909-105;https://www.skiresort.ch/skigebiete/schweiz/seite/2;Melchsee-Frutt (Kerns);1080 m;2255 m;;20 km;6 km;10 km;15 Lifte/Bahnen;SFr. 59,- / ca. € 63,-;"[{""review_raw"":"""",""review_raw-title"":""3,3 von 5 Sternen""}]"
