skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon
Islern,,Islern,0.4,0.4,0.0,0.0,1427,1542,115,1,10.0,11.0,2.1,47.03339385986328,8.14845085144043
Sternenberg,Sternenberg,Sternenberg,0.3,0.3,0.0,0.0,838,884,46,1,10.0,11.0,2.1,47.401023864746094,8.914185523986816
Langmattli,Hergiswil,Hergiswil,0.4,0.4,0.0,0.0,838,946,108,1,12.0,13.0,2.1,47.09326934814453,7.934874534606934
Beckenhalde,St. Gallen,St. Gallen,0.4,0.4,0.0,0.0,764,854,90,1,19.0,20.0,2.1,47.41083908081055,9.363511085510254
Hampy,Adelboden,Adelboden,0.3,0.3,0.0,0.0,1289,1351,62,1,26.0,28.0,2.1,47.06343460083008,8.622342109680176
Hörnli,Hemberg-Bächli,Hemberg-Bächli,0.4,0.4,0.0,0.0,890,970,80,1,25.0,27.0,2.1,47.30031967163086,9.175806999206543
Ausserschwand,,Ausserschwand,0.2,0.2,0.0,0.0,1341,1392,51,1,,,2.1,46.50265121459961,7.568112373352051
La Trélasse,,La Trélasse,0.5,0.5,0.0,0.0,1100,1150,50,2,,,2.1,46.45039749145508,6.10351037979126
Mittlerwengi,Kaltbrunn,Kaltbrunn,0.4,0.0,0.4,0.0,1153,1253,100,1,,,2.1,47.21217727661133,9.03919792175293
Regensberg-Erlenhof,Im Buck,Im Buck,0.3,0.3,0.0,0.0,605,648,43,1,,,2.1,47.648597717285156,8.935113906860352
Caux,,Caux,0.1,0.1,0.0,0.0,1156,1166,10,1,,,2.1,46.432228088378906,6.934516906738281
Sous-le-Mont,Tavannes,Tavannes,0.3,0.3,0.0,0.0,855,921,66,1,,,2.1,47.23158264160156,7.1945953369140625
Bildhaus,Gommiswald am Ricken,Gommiswald am Ricken,0.5,0.5,0.0,0.0,800,860,60,2,25.0,27.0,2.1,47.26361846923828,9.043039321899414
Cioss Prato,Bedretto,Bedretto,0.4,0.4,0.0,0.0,1550,1610,60,2,17.0,18.0,2.1,46.503822326660156,8.504905700683594
Staffelalp,Zeglingen,Zeglingen,0.5,0.1,0.3,0.1,726,782,56,1,,,2.0,47.40998458862305,7.892963409423828
Les Loges,La Vue des Alpes,La Vue des Alpes,1.0,1.0,0.0,0.0,1235,1260,25,2,,,2.0,47.07280731201172,6.870323181152344
Bernina,,Bernina,0.0,0.0,0.0,0.0,2000,3300,1300,0,,,nan,46.44509506225586,9.9691162109375
Trachselwald,,Trachselwald,0.5,0.5,0.0,0.0,685,715,30,1,10.0,11.0,nan,47.020904541015625,7.737001895904541
Bügls,S-chanf,S-chanf,0.5,0.5,0.0,0.0,1670,1700,30,1,10.0,11.0,nan,46.6120491027832,9.984933853149414
La Brévine,,La Brévine,0.8,0.8,0.0,0.0,1048,1100,52,1,3.0,3.0,nan,46.96433639526367,6.616907596588135
Raten,Oberägeri,Oberägeri,0.8,0.8,0.0,0.0,1077,1119,42,2,14.0,15.0,nan,47.13373947143555,8.632028579711914
