skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon,canton
Dalpe,,Dalpe,0.2,0.2,0.0,0.0,1200,1250,50,1,,,2.0,46.45354461669922,8.764383316040039,TI
Riffenmatt,,Riffenmatt,0.3,0.3,0.0,0.0,1080,1140,60,1,,,2.0,46.77216720581055,7.354410171508789,BE
Les Paccots,Mont-Chesau,Mont-Chesau,0.4,0.4,0.0,0.0,800,900,100,1,,,2.0,46.5059928894043,6.795595169067383,VD
Le Chaluet,Court,Court,0.2,0.2,0.0,0.0,700,740,40,1,,,2.0,46.77328109741211,7.0362629890441895,FR
Weisstannen,,Weisstannen,0.2,0.2,0.0,0.0,984,1022,38,1,,,2.0,47.15221405029297,9.161084175109863,SG
Wiesen,Gruob,Gruob,0.1,0.1,0.0,0.0,1400,1410,10,1,,,2.0,46.87482452392578,8.376697540283203,NW
Saalhöhe,,Saalhöhe,0.3,0.3,0.0,0.0,720,775,55,1,,,2.0,47.42837142944336,7.986265659332275,SO
Urnerboden,,Urnerboden,0.3,0.3,0.0,0.0,1360,1420,60,1,,,2.0,46.890071868896484,8.91075325012207,UR
Rotberg,Villigen,Villigen,0.2,0.2,0.0,0.0,560,600,40,1,,,2.0,47.534881591796875,8.222894668579102,AG
Schermtanne,Stiegelschwand,Stiegelschwand,0.2,0.2,0.0,0.0,1481,1509,28,1,,,2.0,46.48775863647461,7.546182632446289,BE
Dicki,Weisslingen,Weisslingen,0.2,0.2,0.0,0.0,590,620,30,1,,,2.0,47.43225860595703,8.763815879821777,ZH
Walenstadtberg,,Walenstadtberg,0.3,0.3,0.0,0.0,850,930,80,1,,,2.0,47.1474723815918,9.266605377197266,SG
Orgevaux,,Orgevaux,0.2,0.2,0.0,0.0,1304,1348,44,1,,,2.0,46.31386947631836,7.146988391876221,VD
Gsahl,Hauenstein-Ifenthal,Hauenstein-Ifenthal,0.4,0.4,0.0,0.0,760,800,40,2,,,2.0,47.37782669067383,7.872191429138184,SO
Loco Ski Academy,Saillon,Saillon,0.1,0.1,0.0,0.0,468,471,3,0,,,2.0,46.16548156738281,7.18261194229126,VS
Saint Luc,,Saint Luc,60.0,20.0,30.0,10.0,1680,2980,1300,15,65.0,69.0,3.3,46.5181770324707,6.6313347816467285,VD
Leysin,,Leysin,60.0,43.0,15.0,2.0,1250,2198,948,12,68.0,73.0,3.3,46.36687088012695,6.999289035797119,VD
Betelberg,Lenk,Lenk,42.0,21.7,19.4,0.9,1083,2001,918,11,62.0,66.0,3.3,46.45768737792969,7.442668437957764,BE
Melchsee-Frutt,,Melchsee-Frutt,36.0,20.0,6.0,10.0,1080,2255,1175,15,59.0,63.0,3.3,46.7745361328125,8.268563270568848,OW
Charmey,,Charmey,30.0,19.5,7.5,3.0,875,1626,751,5,46.0,49.0,3.3,46.62632369995117,7.164660930633545,FR
Vercorin,,Vercorin,35.0,13.0,19.0,3.0,1340,2374,1034,10,60.0,64.0,3.2,46.252410888671875,7.519947528839111,VS
Vals,Vals,Vals,25.0,5.0,15.0,5.0,1286,2851,1565,6,39.0,42.0,3.2,46.53512954711914,9.868732452392578,GR
Sörenberg,Rothorn,Rothorn,42.0,24.0,10.0,8.0,1110,2298,1188,14,58.0,62.0,3.2,46.82267761230469,8.033469200134277,LU
Rotenfluh,,Rotenfluh,50.0,18.0,31.0,1.0,1070,1593,523,17,49.0,52.0,3.2,47.01824951171875,8.700359344482422,SZ
Ovronnaz,,Ovronnaz,30.0,5.0,20.0,5.0,1400,2427,1027,7,61.0,65.0,3.2,46.2025146484375,7.166605472564697,VS
Nara,Leontica,Leontica,30.0,10.0,15.0,5.0,925,2123,1198,7,42.0,45.0,3.2,46.45576095581055,8.919452667236328,TI
Glacier 3000,Les Diablerets,Les Diablerets,31.0,14.5,5.5,11.0,1343,3016,1673,11,79.0,84.0,3.2,46.355125427246094,7.169826507568359,VD
La Berra,La Roche,La Roche,25.0,5.0,20.0,0.0,1040,1636,596,6,41.0,44.0,3.1,46.9293098449707,6.744411945343018,NE
Leukerbad,,Leukerbad,47.5,3.5,27.0,17.0,1411,2610,1199,13,65.0,69.0,3.1,46.43210983276367,7.6248979568481445,VS
Bosco Gurin,Grossalp,Grossalp,30.0,1.0,25.0,4.0,1482,2331,849,7,57.0,61.0,3.1,46.31581497192383,8.470480918884277,TI
Klewenalp,Beckenried,Beckenried,40.0,15.0,25.0,0.0,1199,1938,739,15,58.0,62.0,3.1,46.80857467651367,7.270735263824463,FR
Tschiertschen,,Tschiertschen,32.0,15.0,14.0,3.0,1350,2381,1031,4,61.0,65.0,3.1,46.817970275878906,9.606547355651855,GR
Carì,,Carì,20.0,8.0,8.0,4.0,1650,2280,630,4,48.0,51.0,3.1,46.49345397949219,8.818408966064453,TI
Les Marécottes,,Les Marécottes,9.0,2.7,5.0,1.3,1110,2220,1110,4,49.0,52.0,3.1,46.11091613769531,7.006328105926514,VS
Wasserngrat,Gstaad,Gstaad,9.3,3.5,3.6,2.2,1275,1940,665,1,84.0,90.0,3.1,46.483219146728516,7.274813652038574,BE
San Bernardino,,San Bernardino,40.0,17.0,20.0,3.0,1642,2515,873,11,45.0,48.0,3.1,46.462459564208984,9.192255020141602,GR
